"ID System: Find an Institution - Additional Options"
"","Title","Variable","Definition"
"11.","Established","established","After Date/Before Date - The date on which the institution began operations."
"12.","Established After Date","inlowestdate","Established After Date - Institutions will be selected where the Established Date is on or after the Established After Date."
"13.","Established Before Date","inhighestdate","Established Before Date - Institutions will be selected where the Established Date is on or before the Established Before Date."
"14.","Size or Performance","infindata","Size criteria (assets or deposits) or net income (year-to-date or quarter) may be selected from a drop-down box. A dollar amount (in millions) must also be entered in one of the two size selection boxes. Criteria will default to the minimum and maximum values if no size criteria is entered."
"15.","Equal or Greater Than","inlowamount","The value entered here will be used in conjunction with the data element type  from the Size or Performance area to select institutions whos values are equal to or greater than the value entered here."
"16.","Equal or Less Than","inhighamount","The value entered here will be used in conjunction with the data element type  from the Size or Performance area to select institutions whos values are equal to or less than the value entered here.If both 'Equal or Greater Than' and 'Equal or Less Than' are used, you can select institutions where values fall within the specifed range."
"17.","Asset Concentration Hierarchy","specgrp"," An indicator of an institution’s primary specialization in terms of asset concentration. note: (groups are hierarchical and mutually exclusive): international Specialization – Institutions with assets greater than $10 billion and more than 25 percent of total assets in foreign offices. Agricultural Specialization – Banks with agricultural production loans plus real estate loans secured by farmland in excess of 25 percent of total loans and leases. Credit-card Specialization – Institutions with credit-card loans plus securitized receivables in excess of 50 percent of total assets plus securitized receivables. Commercial Lending Specialization – Institutions with commercial and industrial loans, plus real estate construction and development loans, plus loans secured by commercial real estate properties in excess of 25 percent of total assets. Mortgage Lending Specialization – Institutions with residential mortgage loans, plus mortgage-backed securities, in excess of 50 percent of total assets. Consumer Lending Specialization – Institutions with residential mortgage loans, plus credit-card loans, plus other loans to Individuals, in excess of 50 percent of total assets. Other Specialized $1 Billion – Institutions with assets greater than $1 billion that do not meet any of the definitions above, they have significant lending activity with no identified asset concentrations.  "
"18.","Institution Type","inbkclass","Institution Type - The legal authorization to conduct business granted to a financial institution by federal or state government. all charters - includes commercial banks, savings institutions and u.s. branches of foreign banks insured by the fdic Insured Commercial Banks - Includes commercial banks insured by the FDIC. These institutions are regulated by one of the three Federal commercial bank regulators (FDIC, Federal Reserve Board or Office of the Comptroller of the Currency). They submit financial reports to the Federal Reserve (state member banks) or the FDIC (state non-member banks and national banks). Insured Savings Institutions - Includes savings institutions insured that operate under state or federal banking codes applicable to thrift institutions. These institutions are regulated by and submit financial reports to one of three Federal regulators (FDIC, Federal Reserve or Office of the Comptroller of the Currency). Insured Branches of Foreign Banks - Includes insured branches in the U.S. established by banks chartered and headquartered in foreign countries. These institutions are regulated by one of the three Federal commercial bank regulators and submit financial data to the Federal Reserve. "
"19.","Chartering Agency","inchrtagnt"," All Chartering Agencies - State and Federal  Comptroller of the Currency - Chartering authority for nationally (federally) chartered commercial banks  Office of Thrift Supervision - Chartering authority for federally chartered savings associations  State (includes U.S. Territories) - Chartering authority for institutions that are not chartered by the OCC or OTS "
"20.","Federal Regulator","inregagnt","All federal regulators - Includes three active federal regulatory agencies and one inactive federal regulatory agency Federal Deposit Insurance Corporation - Primary federal regulator responsible for state chartered banks not members of the Federal Reserve System and state chartered savings banks Federal Reserve Board - Primary federal regulator responsible for state chartered commercial and savings bank members of the Federal Reserve System Comptroller of the Currency - Primary federal regulator responsible for nationally chartered commercial banks Office of Thrift Supervision - Prior to its merger into the OCC on July 21, 2011, primary federal regulator responsible for federally and state-chartered savings associations"
"21.","Metropolitan Statistical Area (Msa)","MSA"," The Metropolitan Statistical Areas based on Census Bureau data, as defined by the US Office of Management (OMB) before the year 2000. no longer the most current census bureau grouping.  "
"22.","Insurance Fund (N/A)","ininsagnt1","This option allows the user to locate institutions based on which insurance fund they are members of.   Both BIF and SAIF  Bank Insurance Fund - Institutions that are members of the Bank Insurance Fund  Savings Association Insurance Fund - Institutions that are members of the Savings Association Insurance Fund  "
"23.","Quarterly Banking Profile Commercial Bank Region","qbprcoml"," The Quarterly Banking Profile (QBP) Commercial Bank Region in which the institution is physically located. The six QBP Regions and their respective states are:    Northeast - Connecticut, Delaware, District of Columbia, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Puerto Rico, Rhode Island, Vermont, U.S. Virgin Islands   Southeast - Alabama, Florida, Georgia, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia   Central - Illinois, Indiana, Kentucky, Michigan, Ohio, Wisconsin   Midwest - Iowa, Kansas, Minnesota, Missouri, Nebraska, North Dakota, South Dakota   Southwest - Arkansas, Louisiana, New Mexico, Oklahoma, Texas   West - Alaska, American Samoa, Arizona, California, Colorado, Guam, Hawaii, Idaho, Montana, Nevada, Oregon, States of Micronesia, Utah, Washington, Wyoming    "
"24.","FDIC Geographic Region","infdicdbs","The FDIC Office assigned to the geographic area.  Select from a drop down box. Click here for regional breakdown."
"25.","FDIC Field Office","infldoff","The FDIC Field Office where the institution is physically located. Select from a drop down box."
