"ID System: Derivatives"
"","Title","Variable","Definition"
"11.","Notional Value of Exchange Swaps","fxnvs","The notional principal amount (in U.S. dollars) of all cross-currency interest rate swaps.  The notional amount of a cross-currency interest rate swap is generally the underlying principal amount upon which the exchange is based.  A cross-currency interest rate swap is a transaction in which two parties agree to exchange principal amounts of different currencies (usually at the prevailing spot rate) at the inception of an agreement, which lasts for a certain number of years.  "
"12.","Commitments To Purchase Foreign Currencies & U.S. Dollar Exchange","fxffc","Futures and forward foreign exchange contract commitments (gross amounts).  The gross amount of contracts committing the reporting institution to purchase foreign currencies and U.S. dollar exchange, whose predominant risk characteristic is foreign exchange risk.   "
"13.","Spot Foreign Exchange Rate Contracts","fxspot","The gross amount of all spot contracts committing the institution to purchase foreign currencies and U.S. dollar exchange.  A spot contract is an agreement for immediate delivery of a foreign currency at the prevailing cash market rate. "
"14.","Written Option Contracts equity instrument","fxwoc","The gross amount of contracts where the reporting institution has obligated itself to purchase or sell an equity instrument or equity index under exchange-traded option contracts and over-the-counter (OTC) option contracts, whose predominant risk characteristic is foreign exchange risk.    "
"15.","Purchased Option Contracts","fxpoc","The contract amount of option contracts where the reporting bank has, for a fee, purchased the right to either purchase or sell an equity instrument, equity index, a commodity, or product not reportable as an interest rate or foreign exchange contract.  The predominant risk characteristic is foreign exchange risk.  It includes purchased exchange-traded foreign exchange options and purchased OTC foreign exchange options (gross amounts)."
"16.","Contracts on Other Commodities and Equities.","edcm"," National amount of total equity derivative contracts, commodity contracts and other contracts. Not available for TFR Reporters. "
"17.","Notional Value of Other Swaps","othnvs","The notional amount of all outstanding equity, equity index and all other swap agreements not reportable as interest rate or foreign exchange contracts.  This item is not available prior to March 1995."
"18.","Futures and Forward Contracts  commodities","othffc","Notional amount of futures and forward contracts such as stock index and commodity (precious metals, wheat, cotton, livestock contracts) and contracts on other commodities and equities. This item is not available prior to March 1995."
"19.","Written Option Contracts  equity instrument prior to March 1995","othwoc","The gross amount of contracts where the reporting institution has obligated itself, for compensation, to purchase or sell an equity instrument, equity index, a commodity or product not reportable as interest rate or foreign exchange contracts.  This item is not available prior to March 1995."
"20.","Purchased Option Contracts Equity Instrument","othpoc","The contract amount of option contracts where the reporting institution has, for a fee, purchased the right to purchase or sell an equity instrument, equity index, a commodity or product not reportable as interest rate or foreign exchange contracts.  This item is not available prior to March 1995."
