"ID System: Securities"
"","Title","Variable","Definition"
"11.","Other Domestic Debt Securities - All Other","scodot"," Other domestic debt securities - all other held-to-maturity at amortized cost and available-for-sale at fair value on a consolidated basis note: 1) for call filers prior to March 2001 included abs 2) for TFR filers from March 2004, other investment securities exclude securities backed by nonmortgage loans (abs) - prior to March 2004 these two items were reported together in one item 3) For TFR filers prior to 3/2004 includes the aforementioned securities held in trading accounts  "
"12.","Foreign Debt Securities","scford"," Total of all foreign debt securities held-to-maturity at amortized cost and available-for-sale at fair value.  Prior to 2001, institutions that filed a FFIEC Call Report and had less than less than $100 million in total assets included 'foreign debt securities' in 'other domestic debt securities'.    This item is not available for TFR Reporters.TFR reports ended December 2011. "
"13.","Equity Securities Not Held for Trading","IDSCEQ"," Available-for-sale equity securities at fair value and equity securities with readily determinable fair values not held for trading. includes all investments in mutual funds and other equity securities with easy to determine fair values that are not held for trading. Such securities include, but are not limited to, money market mutual funds, mutual funds that invest solely in U.S. Government securities, common stock, and perpetual preferred stock. Reporting equity securities with readily determinable fair values begins in March 2018 and is reported by institutions that have adopted FASB Accounting Standards Update No. 2016-01 (ASU 2016-01) for fiscal years beginning after December 15, 2017. RIS definition: IDSCEQ = SUM(SCEQ,SCEQFV)  "
"14.","Equity Securities Available-For-Sale","sceq"," Total equity securities available-for-sale at fair value not held in trading. This item ends in 2020. See equity securities readily determinable fair values (SCEQFV) Beginning in March 2018, does not include equity securities with readily determinable fair values not held for trading (FASB ASU 2016-01 adopters). Before March 2012, includes securities held in trading accounts for TFR Reporters. "
"15.","Equity Securities Readily Determinable Fair Values","sceqfv"," Equity securities with readily determinable fair values not held for trading. Includes all investments in mutual funds and other equity securities with easy to determine fair values that are not held for trading. Such securities include, but are not limited to, money market mutual funds, mutual funds that invest solely in U.S. Government securities, common stock, and perpetual preferred stock. begins in March 2018 and is reported by institutions that have adopted fasb accounting standards update no. 2016-01 (asu 2016-01) for fiscal years beginning after december 15, 2017.  "
"16.","Credit Loss Allowance for Held To Maturity Debt Securities","schtmres"," Credit Loss Allowance for Held to Maturity Debt Securities The balance of the allowance for credit losses on held-to-maturity debt securities at the end of the current reporting period. as of March 2019, reported only by institutions that have adopted cecl methodology ( (ASU 2016-13)  "
"17.","Assets Held in Trading Accounts for TFR Reporters","idahta"," Assets held in trading accounts for those institutions that are TFR reporters. ris definition = idahta = sum(scus, SCMUNI, SCDOMO, SCFORD, SCEQ, -SC, -SCRES) "
"18.","General Valuation Allowances for Securities for TFR Reporters","scres"," Prior to 2010, the amount of general valuation allowances for securities for TFR reporters. no longer reported as of March 2010 "
"19.","Pledged Securities","scpledge"," Securities that are pledged to secure deposits, repurchase transactions, or other borrowings.  This includes held-to-maturity securities at amortized cost and available-for-sale securities at fair value.   This item is not available for TFR Reporters.TFR reports ended December 2011. "
"20.","Mortgage-Backed Securities","scmtgbk"," Mortgage-backed securities include:     US Government agency and corporation issued obligations or guaranteed certificates of participation in pools of residential mortgages.  US Government agency and corporation obligations and collateralized mortgage obligations issued by the Federal National Mortgage Association and the Federal Home Loan Mortgage Corporation (including real estate mortgage investment conduits - REMICS).  Other domestic debt private securities - (i.e., non-government issued or guaranteed) and certificates of participation in pools of residential mortgages.  Other domestic debt securities that are privately issued and collateralized mortgage obligations (including REMICS). Effective March 1994, the full implementation of FASB 115 states that a portion of banks' mortgage-backed securities portfolio is now reported based upon fair (market) values; previously, all mortgage-backed securities not held in trading accounts were reported at either amortized cost or lower of cost or market.    "
"21.","Certificates of Participation in Pools of Residential Mortgages","idscgtpc"," Mortgage-backed pass-through securities held-to-maturity at amoritized cost and available-for-sale at fair value, which are either issued or guaranteed through FNMA, FHLMC, or GNMA or privately-issued. This includes securities held in trading accounts for TFR reporters. ris definition = idscgtpc = (scgty + scodpc) "
"22.","Mortgage-Backed Pass-Through Securities:Issued Or Guaranteed By U.S.","scgty"," Mortgage-backed pass-through securities held-to-maturity at amortized cost and available-for-sale at fair value, which are issued or guaranteed through FNMA, FHLMC, or GNMA.  This includes securities held in trading accounts for TFR Reporters. "
"23.","Mortgage-Backed Pass-Through Securities: Privately Issued","scodpc"," Mortgage-backed pass-through securities held-to-maturity at amortized cost and available-for-sale at fair value, which are privately-issued.  This includes securities held in trading accounts for TFR Reporters. "
"24.","Collaterized Mortgage Obligations","idsccmo"," Mortgage-backed securities (CMOs and REMICS) held-to-maturity at amortized cost and available-for-sale at fair value which are either issued or guaranteed through FNMA or FHLMC, or privately issued and collateralized by mortgage-backed securities issued or guaranteed by FNMA, FHLMC, or GNMA and all other privately-issued. This includes securities held in trading accounts and privately issued collateralized mortgage obligations (REMICS) forTFR reporters. ris definition = idsccmo = (sccol + scodpi) "
"25.","CMOs Issued By Government Agencies Or Sponsored Agencies","sccol"," Mortgage-backed securities � Collateralized Mortgage Obligations. The amortized cost and fair value of all classes of CMOs and REMICs, CMO and REMIC residuals, and stripped mortgage-backed securities issued or guaranteed by U.S. Government agencies or U.S. Government-sponsored agencies that are backed by loans secured by 1-4 family residential properties. Also includes REMICs issued by the U.S. Department of Veterans Affairs (VA) that are backed by 1-4 family residential mortgages in this item. Includes privately issued CMOs and REMICS (including securities held in trading accounts) for TFR reporters. u.s. government agencies include, but are not limited to, such agencies as the government national mortgage association (gnma), the federal deposit insurance corporation (FDIC), and the national credit union administration (ncua). u.s. government-sponsored agencies include, but are not limited to, such agencies as the federal home loan mortgage corporation (fhlmc) and the federal national mortgage association (fnma). beginning january 1, 1994, this item consists of both securities designated as held-to-maturity, reported at amortized cost, and securities designated as available-for-sale, reported at fair market value. "
"26.","Mortgage-Backed Pass-Through Securities:Privately Issued Collateralized By Mbss ","scodpi"," Mortgage-backed securities (CMOs and REMICs) held-to-maturity at amortized cost and available-for-sale at fair value, which are privately-issued and collateralized by mortgage-backed securities issued or guaranteed by government agencies or sponsored agencies and all other privately-issued securities. This item is not available for TFR Reporters.TFR reports ended December 2011. "
"27.","Commercial Mortgage-Backed Securities U.S. Government-Sponsored","idsccmt","Commercial mortgage pass-through securities and other commercial mortgage-backed securities (issued by U.S. government-sponsored agencies or by others) on a consolidated basis RIS definition: IDSCCMT = SUM(SCCMPT, SCCMOT)"
"28.","Commercial Mortgage Pass-Through Securities","sccmpt","Commercial mortgage pass-through securities (issued by U.S. government-sponsored agencies or by others) on a consolidated basis  Note:  Data begins in June 2009"
"29.","Other Commercial Mortgage-Backed Securities","sccmot"," Other commercial mortgage-backed securities (issued by U.S. government-sponsored agencies or by others) on a consolidated basis note: data back to 2009 "
"30.","Held To Maturity Securities (Book Value)","scha","Total securities designated to be held to maturity, reported at amortized cost (book value)."
"31.","Available-For-Sale Securities (Fair Market Value)","scaf","Total available-for-sale debt securities at fair value on a                                         consolidated basis.                                                                                  Prior to December 2020, defined as:                                                            total available-for-sale securities at fair value on a                                              consolidated basis. Beginning March 2018, does not include equity securities for                                   institutions that have adopted ASU2016-01.                                           For IBA reporters, this is a memo item only.                                                 For TFR  filers (prior to 2012) this is estimated                                             available-for-sale securities.                                                                        "
"32.","Total Debt Securities","scrdebt","Total debt securities, both domestic and foreign at amortized cost and fair value, excluding nonaccrual debt securities.    For  TFR Reporters   this item includes securities held in trading accounts.    "
"33.","Amortized Cost of Structured Notes","scsnhaa"," Amortized cost of structured notes (included in the held-to-maturity and available-for-sale accounts). Structured notes are debt securities that combine straight fixed or variable rate instruments and derivative products that are issued by corporations and government sponsored enterprises including FNMA, the Federal Home Loan Bank and the Federal Home Loan Mortgage Corporation. Structured notes generally contain embedded options such as call options, interest rate caps and interest rate floors. They typically have cash flows that are linked to indices such as interest rates, foreign exchange rates, commodity prices and other financial variables. The cash flows of structured notes can vary in the timing and amount of cash received by the investor throughout the life of the security. This makes the valuation of cash flows and risks of these securities a complex process. prior to 2004, This item is not available for TFR Reporters.TFR reports ended December 2011. "
"34.","Fair Value of Structured Notes","scsnhaf"," Fair value of structured notes (included in the held-to-maturity and available-for-sale accounts).  Structured notes are debt securities that combine straight fixed or variable rate instruments and derivative products that are issued by corporations and government sponsored enterprises including FNMA, the Federal Home Loan Bank and the Federal Home Loan Mortgage Corporation. Structured notes generally contain embedded options such as call options, interest rate caps and interest rate floors. They typically have cash flows that are linked to indices such as interest rates, foreign exchange rates, commodity prices and other financial variables.  The cash flows of structured notes can vary in the timing and amount of cash received by the investor throughout the life of the security. This makes the valuation of cash flows and risks of these securities a complex process.   This item is not available for TFR Reporters.TFR reports ended December 2011. "
"35.","Trading Account Assets","trade"," Securities and other assets acquired with the intent to resell in order to profit from short-term price movements. Effective January 1, 1994, this item includes revaluation gains.  This item is included in securities for TFR Reporters. "
"36.","Revaluation Gains on off-Balance Sheet Contracts","idtrrval","Trading liabilities revaluation gains on interest rate, foreign exchange rate, and other commodity and equity contracts.  This item is only available for banks with $1 billion or more in total assets or banks with $2 billion or more in notional amount of interest rate, foreign exchange rate, and other commodity and equity contracts. RIS definition: IDTRRVAL = (TRREVALD + TRREVALF)"
"37.","Revaluation Losses on off-Balance Sheet Contracts","trlreval"," Trading liabilities revaluation losses on interest rate, foreign exchange rate, and other commodity and equity contracts.  This item is only available for banks with $1 billion or more in total assets or banks with $2 billion or more in notional amount of interest rate, foreign exchange rate, and other commodity and equity contracts.   This item is not available for TFR Reporters.TFR reports ended December 2011. "
