"ID System: Small Business Loans"
"","Title","Variable","Definition"
"11.","$ Amt. Loans Sec. By Farmland  -  Orig. Amts. $100K - $250K","Lnreag2"," Amount of currently outstanding loans secured by farmland (including farm residential and other improvements) with original amounts between $100,000 and $250,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"12.","$ Amt. Loans Sec. By Farmland  -  Orig. Amts. $250K - $500K","Lnreag3"," Amount of currently outstanding loans secured by farmland (including farm residential and other improvements) with original amounts between $250,000 and $500,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"13.","$ Amt. Loans To Finance Agricultural Prod. - Orig. Amts. of $500K Or Less","Lnag4"," Amount of currently outstanding loans to finance agricultural production and other loans to farmers with original amounts less than $500,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) For institutions filing only the total number of the aforementioned loans with original amounts of less than $100,000, it was assumed that the total amount of these loans have original amounts of less than $100,000 (3) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"14.","$ Amt. Loans To Finance Agricultural Prod. - Orig. Amts. of $100K Or Less","Lnag1"," Amount of currently outstanding loans to finance agricultural production and other loans to farmers with original amounts of $100,000 or less held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) For institutions filing only the total number of the aforementioned loans with original amounts of less than $100,000, it was assumed that the total amount of these loans have original amounts of less than $100,000 (3) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"15.","$ Amt. Loans To Finance Agricultural Prod. - Orig. Amts. $100K - $250K","Lnag2"," Amount of currently outstanding loans to finance agricultural production and other loans to farmers with original amounts between $100,000 and $250,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"16.","$ Amt. Loans To Finance Agricultural Prod. - Orig. Amts. $250K - $500K","Lnag3"," Amount of currently outstanding loans to finance agricultural production and other loans to farmers with original amounts between $250,000 and $500,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"17.","# of Loans Sec. By Nonfarm Nonres. Props. - Orig. Amts. of $1M Or Less","Lnrenr4N"," Number of individual loans secured by nonfarm nonresidential properties with original amounts less than $1,000,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) For institutions filing only the total number of the aforementioned loans with original amounts of less than $100,000, it was assumed that the total amount of these loans have original amounts of less than $100,000 (3)Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"18.","# of Loans Sec. By Nonfarm Nonres. Props. - Orig. Amts. of $100K Or Less","Lnrenr1N"," Number of individual loans secured by nonfarm nonresidential properties with original amounts of $100,000 or less held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"19.","# of Loans Sec. By Nonfarm Nonres. Props. - Orig. Amts. $100K- $250K","Lnrenr2N"," Number of individual small business loans secured by nonfarm nonresidential properties in domestic offices with original amounts of more than $100,000 through $250,000. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"20.","# of Loans Sec. By Nonfarm Nonres. Props. - Orig. Amts. $250K - $1M","Lnrenr3N"," Number of individual loans secured by nonfarm nonresidential properties with original amounts between $250,000 and $1,000,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"21.","# of C&I Loans To U.S. Addressees - Orig. Amts.  of $1M Or Less","Lnci4N"," Number of individual commercial and industrial loans with original amounts less than $1,000,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"22.","# of C&I Loans To U.S. Addressees - Orig. Amts. of $100K Or Less","Lnci1N"," Number of individual commercial and industrial loans with original amounts of $100,000 or less held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"23.","# of C&I Loans To U.S. Addressees - Orig. Amts. $100K - $250K","Lnci2N"," Number of individual commercial and industrial loans with original amounts between $100,000 and $250,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2)Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"24.","# of C&I Loans To U.S. Addressees - Orig. Amts. $250K - $1M","Lnci3N"," Number of individual commercial and industrial loans with original amounts between $250,000 and $1,000,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"25.","# of Loans Sec. By Farmland  -  Orig. Amts. of $500K Or Less","Lnreag4N"," Number of individual loans secured by farmland (including farm residential and other improvements) with original amounts less than $500,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"26.","# of Loans Sec. By Farmland  -  Orig. Amts. of $100K Or Less","Lnreag1N"," Number of individual loans secured by farmland (including farm residential and other improvements) with original amounts of $100,000 or less held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"27.","# of Loans Sec. By Farmland  -  Orig. Amts. $100K - $250K","Lnreag2N"," Number of individual loans secured by farmland (including farm residential and other improvements) with original amounts between $100,000 and $250,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"28.","# of Loans Sec. By Farmland  -  Orig. Amts. $250K - $500K","Lnreag3N"," Number of individual loans secured by farmland (including farm residential and other improvements) with original amounts between $250,000 and $500,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"29.","# of Loans To Finance Agricultural Prod. - Orig. Amts. of $500K Or Less","Lnag4N"," Number of individual loans to finance agricultural production and other loans to farmers with original amounts less than $500,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) For institutions filing only the total number of the aforementioned loans with original amounts of less than $100,000, it was assumed that the total amount of these loans have original amounts of less than $100,000 (3) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"30.","# of Loans To Finance Agricultural Prod. - Orig. Amts. of $100K Or Less","Lnag1N"," Number of individual loans to finance agricultural production and other loans to farmers with original amounts of $100,000 or less held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) For institutions filing only the total number of the aforementioned loans with original amounts of less than $100,000, it was assumed that the total amount of these loans have original amounts of less than $100,000 (3) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"31.","# of Loans To Finance Agricultural Prod. - Orig. Amts. $100K - $250K","Lnag2N"," Number of individual loans to finance agricultural production and other loans to farmers with original amounts between $100,000 and $250,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"32.","# of Loans To Finance Agricultural Prod. - Orig. Amts. $250K - $500K","Lnag3N","Number of individual loans to finance agricultural production and other loans to farmers with original amounts between $250,000 and $500,000 held in domestic offices.  Note:  (1) Institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only."
