"ID System: Demographic Information"
"","Title","Variable","Definition"
"12.","Asset Concentration Hierarchy","specgrp"," An indicator of an institution’s primary specialization in terms of asset concentration. note: (groups are hierarchical and mutually exclusive): international Specialization – Institutions with assets greater than $10 billion and more than 25 percent of total assets in foreign offices. Agricultural Specialization – Banks with agricultural production loans plus real estate loans secured by farmland in excess of 25 percent of total loans and leases. Credit-card Specialization – Institutions with credit-card loans plus securitized receivables in excess of 50 percent of total assets plus securitized receivables. Commercial Lending Specialization – Institutions with commercial and industrial loans, plus real estate construction and development loans, plus loans secured by commercial real estate properties in excess of 25 percent of total assets. Mortgage Lending Specialization – Institutions with residential mortgage loans, plus mortgage-backed securities, in excess of 50 percent of total assets. Consumer Lending Specialization – Institutions with residential mortgage loans, plus credit-card loans, plus other loans to Individuals, in excess of 50 percent of total assets. Other Specialized $1 Billion – Institutions with assets greater than $1 billion that do not meet any of the definitions above, they have significant lending activity with no identified asset concentrations.  "
"13.","Subchapter S Corporations","subchaps"," The Small Business Job Protection Act of 1996 changed the Internal Revenue Code to allow financial institutions to elect Subchapter S corporation status, beginning in 1997. Banks are required to indicate on the Call Report whether there is currently in effect an election to file under Subchapter S. Thrifts have a similar requirement as of March 1998.  The most important IRS requirements to elect and maintain Subchapter S status are: There can be no more than 75 eligible shareholders and no more than one class of stock. (In general, shareholders can only be Individuals, estates, and certain types of trusts. Certain retirement plans and charitable organizations will be eligible in 1998.) All shareholders must consent.  Banks and thrifts converting to Subchapter S status must use the specific charge-off method for tax purposes rather than the reserve method of accounting for bad debts and recapture tax bad debt reserves over a period of six years, if the reserve method had been used prior to conversion. (Note: even though the specific charge-off method is required for tax purposes, an adequate allowance for loan and lease losses must still be maintained on the financial statements and Call Reports.) Banks and thrifts are subject to a built-in gains (BIG) tax, if the aggregate fair market value of assets is greater than their aggregate adjusted bases on the date of conversion to Subchapter S status.     [Banks are required to indicate separately on the Call Report in December of each year, the deferred portion of income taxes reported in net income. For Subchapter S banks, some or all of their deferred tax assets and liabilities may be eliminated upon conversion to Subchapter S status; however, deferred taxes related to the BIG tax and the recapture of bad debt reserves must be recognized.].   A Subchapter S corporation is treated as a pass-through entity, similar to a partnership, for federal income tax purposes. It is generally not subject to any federal income taxes at the corporate level. Its taxable income flows through to its shareholders in proportion to their stock ownership, and the shareholders generally pay federal income taxes on their share of this taxable income. This can have the effect of reducing institutions' reported income tax expense and increasing their after-tax earnings..   The election of Subchapter S status may result in an increase in shareholders' personal tax liabilities. Therefore, S corporations typically increase the amount of earnings distributed as dividends to compensate for higher personal taxes. "
"14.","County","county","County where the institution is physically located (abbreviated if the county name exceeds 16 characters)."
"15.","Metropolitan Statistical Area (Msa)","msa"," The Metropolitan Statistical Areas based on Census Bureau data, as defined by the US Office of Management (OMB) before the year 2000. no longer the most current census bureau grouping.  "
"16.","Established Date","estymd","The date on which the institution began operations."
"17.","Date of Deposit Insurance","insdate","The date that an institution obtained federal deposit insurance."
"18.","Last Structure Change Process Date","procdate",""
"19.","Last Structure Change Effective Date","effdate","Effective Start Date of the data contained in this row. "
"20.","Mutual Ownership Flag","mutual","Banking institutions fall into one of two ownership types, stock or non-stock.   A non-stock institution, or mutual institution, is owned and controlled solely by its depositors. A mutual does not issue capital stock. (1=Yes, a mutual)   An institution which sells stock to raise capital is called a stock institution. It is owned by the shareholders who benefit from profits earned by the institution. (0=No, not a mutual.)"
"21.","Directly Owned By Another Bank (Cert)","parcert","Beginning in March 1997, both the Thrift Financial Reports and Call Reports are completed on a fully consolidated basis.  Previously, the consolidation of subsidiary depository institutions was prohibited.  Now, parent institutions are required to file consolidated reports, while their subsidiary financial institutions are still required to file separate reports.  Select the certificate number to identify the parent bank or thrift."
"22.","Bank Charter Class","bkclass"," A classification code assigned by the FDIC based on the institution's charter type (commercial bank or savings institution), charter agent (state or federal), Federal Reserve membership status (Fed member, Fed nonmember)and its primary federal regulator (state chartered institutions are subject to both federal and state supervision). n = commercial bank, national (federal) charter and fed member, supervised by the office of the comptroller of the currency (occ) sm = commercial or savings bank, state charter and fed member, supervised by the federal reserve (FRB) nm = commercial bank, state charter and fed nonmember, supervised by the FDIC or OCC SB = savings banks, state charter, supervised by the FDIC SA = As of July 21, 2011, FDIC supervised state chartered thrifts and OCC supervised federally chartered thrifts. Prior to that date, state or federally chartered savings associations supervised by the Office of Thrift Supervision (OTS). OI = Insured U.S. branch of a foreign chartered institution (IBA)  "
"23.","FDIC Community Banks","cb"," FDIC Community banks are identified based on criteria defined in the FDIC community banking study. using detailed balance sheet and geographic data, the study defines community banks primarily in terms of their traditional relationship banking and limited geographic scope of operations. Summary of FDIC Research Definition of Community Banking Organizations Community banks are designated at the level of the banking. (All charters under designated holding companies are considered community banking charters.) Exclude: Any organization with:    - No loans or no core deposits    - Foreign Assets &#8805;10% of total assets    - More than 50% of assets in certain specialty banks, including: credit card specialists consumer nonbank banks1 industrial loan companies trust companies bankers' banks Include: All remaining banking organizations with:    - Total assets 2    - Total assets &#8805;indexed size threshold, where: Loan to assets > 33% Core deposits to assets > 50% More than 1 office but no more than the indexed maximum number of offices.3 Number of large MSAs with offices &#8804;2 Number of states with offices &#8804;3 No single office with deposits > indexed maximum branch deposit size.4 1 Consumer nonbank banks are financial institutions with limited charters that can make commercial loans or take deposits, but not both. 2 Asset size threshold indexed to equal $250 million in 1985 and $1 billion in 2010. 3 Maximum number of offices indexed to equal 40 in 1985 and 75 in 2010. 4 Maximum branch deposit size indexed to equal $1.25 billion in 1985 and $5 billion in 2010.  "
"24.","Trust Powers","trust"," A flag used to indicate an institution's Trust Powers Granted status. 0 = No Trust Power Granted 1 = Trust Power Granted Where Trust Power has been granted specific codes are: 00 - Trust powers not know 10 - Full trust powers granted 11 - Full trust powers granted, exercised 12 - Full trust powers granted, not exercised 20 - Limited trust powers granted 21 - Limited trust powers granted, exercised 22 - Limited trust powers granted, not exercised 30 - Trust powers not granted 31 - Trust powers not granted, but exercised  "
"25.","Primary Federal Regulator","RegAgnt"," There are now three federal regulators of banks and savings and loan institutions. Before July 21, 2011, there were four federal regulators: federal deposit insurance corporation (FDIC) - primary federal regulator responsible for state-chartered banks not members of the Federal Reserve System, state chartered savings banks and as of July 21, 2011, state chartered thrifts. Federal Reserve Board (FRB) - Primary federal regulator responsible for state-chartered commercial and savings bank members of the Federal Reserve System. Office of the Comptroller of the Currency (OCC) - Primary federal regulator responsible for nationally chartered commercial banks, and as of July 21, 2011, federally chartered thrifts. Office of Thrift Supervision (OTS) - Prior to its merger into the OCC on July 21, 2011, primary federal regulator responsible for federally chartered savings and loan associations, federal savings banks and state-chartered savings and loan associations. FDIC Insured depository institutions are members of the Deposit Insurance Fund (DIF). "
"26.","Secondary Federal Regulator","CFPBFLAG"," If applicable, also currently supervised by The Consumer Financial Protection Bureau (CFPB). the cfpb has supervisory authority regarding specific federal consumer protection laws for banks, thrifts, and credit unions with assets over $10 billion, as well as their affiliates. The CFPB also has supervisory authority over nonbank mortgage originators and servicers, payday lenders, and private student lenders of all sizes. The Consumer Financial Protection Bureau (CFPB) provides the current list of banks subject to their specific supervisory authority to the FDIC each quarter. We complete additional validations on FDIC regulated institutions. The current information is then updated, stored on, and retrieved from the FDIC's Structure Information Management System. As a result, there may be differences in the lists related to timing. For further information on the current and historical lists of CFPB supervised institutions, click here.  "
"27.","Insurance Fund Membership","insagnt1","Deposit Insurance Fund(DIF),Bank Insurance Fund (BIF),Savings Association Insurance Fund(SAIF)"
"28.","Quarterly Banking Profile Commercial Bank Region","QBPRComl"," The Quarterly Banking Profile (QBP) Commercial Bank Region in which the institution is physically located. The six QBP Regions and their respective states are:    Northeast - Connecticut, Delaware, District of Columbia, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Puerto Rico, Rhode Island, Vermont, U.S. Virgin Islands   Southeast - Alabama, Florida, Georgia, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia   Central - Illinois, Indiana, Kentucky, Michigan, Ohio, Wisconsin   Midwest - Iowa, Kansas, Minnesota, Missouri, Nebraska, North Dakota, South Dakota   Southwest - Arkansas, Louisiana, New Mexico, Oklahoma, Texas   West - Alaska, American Samoa, Arizona, California, Colorado, Guam, Hawaii, Idaho, Montana, Nevada, Oregon, States of Micronesia, Utah, Washington, Wyoming    "
"29.","FDIC Regions","fdicdbs"," The six geographic FDIC Regions and their respective states are: new york (02) – states: Connecticut, Delaware, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Puerto Rico, Rhode Island, Vermont, Virgin Islands Atlanta (05) - States: Alabama, Florida, Georgia, North Carolina, South Carolina, Virginia Chicago (09)–States: Illinois, Indiana, Kentucky, Michigan, Ohio Kansas City (11) – States: Iowa, Kansas, Minnesota, Missouri, Nebraska, North Dakota, South Dakota Dallas (13)- States: Arkansas, Colorado, Louisiana, Mississippi, New Mexico, Oklahoma, Tennessee, Texas San Francisco (14)–States: Alaska, American Samoa, Arizona, California, Federated States of Micronesia, Guam, Hawaii, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming  "
"30.","FDIC Supervisory Region","fdicsupv"," The supervisory FDIC office assigned to the institution. The FDIC Supervisory Regions and their respective states are: new york (02) – states: Connecticut, Delaware, Maine, Maryland, Massachusetts, new hampshire, new jersey, new York, Pennsylvania, Puerto Rico, Rhode Island, Vermont, Virgin Islands Atlanta (05) - States: Alabama, Florida, Georgia, North Carolina, South Carolina, Virginia Chicago (09)–States: Illinois, Indiana, Kentucky, Michigan, Ohio Kansas City (11) – States: Iowa, Kansas, Minnesota, Missouri, Nebraska, North Dakota, South Dakota Dallas (13)- States: Arkansas, Colorado, Louisiana, Mississippi, New Mexico, Oklahoma, Tennessee, Texas San Francisco (14)–States: Alaska, American Samoa, Arizona, California, Federated States of Micronesia, Guam, Hawaii, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming Washington Office (15) - Division of Risk Management Supervision (RMS) Washington Office (16)– The Office of Complex Financial Institutions (CFI)  "
"31.","FDIC Field Office","fldoff","The FDIC Field Office where an institution is physically located."
"32.","Federal Reserve District","fed"," The Federal Reserve District in which the institution is physically located.  "
"33.","Office of The Comptroller District","occdist","The Office of the Comptroller of the Currency (OCC) District in which the institution is physically located. The districts are divided into four geographic regions.    Northeastern District  -  Responsible for national banks and thrifts in Connecticut, Delaware, the District of Columbia, eastern Kentucky, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Vermont, Virginia, West Virginia.      Southern District   - Responsible for national banks and thrifts headquartered in Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, Oklahoma, Tennessee, and Texas.    Central District  Responsible for national banks and thrifts headquartered in Illinois, Indiana, Kentucky, Michigan, Minnesota, eastern Missouri, North Dakota, Ohio, and Wisconsin.     Western District  Responsible for national banks and thrifts headquartered in Alaska, Arizona, California, Colorado, Hawaii, Idaho, Iowa, Kansas, western Minnesota, western Missouri, Montana, Nebraska, Nevada, New Mexico, Oregon, South Dakota, Utah, Washington, and Wyoming.  "
"34.","Office of Thrift Supervision Region - Before July 21, 2011","otsregnm","The Office of Thrift Supervision (OTS) Region in which the institution was physically located. The OTS merged into the Office of the Comptroller of the Currency (OCC) on July 21, 2011. The five OTS Regions and their respective states were:    Northeast  - Connecticut, Delaware, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, West Virginia   Southeast  - Alabama, District of Columbia, Florida, Georgia, Maryland, North Carolina, Puerto Rico, South Carolina, U.S. Virgin Islands, Virginia   Central  - Illinois, Indiana, Kentucky, Michigan, Ohio, Tennessee, Wisconsin   Midwest  - Arkansas, Colorado, Iowa, Kansas, Louisiana, Minnesota, Mississippi, Missouri, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas   West  - Alaska, American Samoa, Arizona, California, Guam, Hawaii, Idaho, Montana, Nevada, States of Micronesia, Oregon, Utah, Washington, Wyoming  "
"35.","The Type of Financial Report Filed To The Regulators","CALLFORM"," The type of financial report filed by an institution to the regulators. Thrift Financial Report Filers: 100 - Savings institution Thrift Financial Report or TFR filer (3/1984 - 12/2011) FFIEC Call Report Filers: 002 – International Banking Act Institution (6/1980-present) 031 – Banks with domestic and foreign offices (3/1984 - present) 032 - Banks with domestic offices only and total assets of $300 million or more ( 3/1984 - 12/2000) 033 - Banks with domestic offices only and total assets of over $100 million but less than $300 million (3/1984 - 12/2000) 034 - Banks with domestic offices only and total assets less than $100 million (3/1984 - 12/2000) 041 - Banks with domestic offices only (3/2001 - present) 051 - Banks with domestic offices only and total assets less than $5 billion (9/2019 - present). Banks with domestic offices only and total assets less than $1 billion. (3/2017 - 6/2019) For further information on FFIEC Call Reports , click here. For further information on Thrift Financial Reports, click here.  "
"36.","Primary Internet Web Address:","webaddr"," The primary internet web address is the public internet site obtained from the most recent FFIEC Call Report (CALL) for commercial banks or from the supplemental information for Thrift Financial Reporters (TFR). the primary internet web address is included only for those institutions reporting an address on the most recent FFIEC Call Report or thrift financial report. this information resides in the most recent demographic information file. For some institutions users will find that for the item Primary Internet Web Address: the caption will read 'Web site not available'. Possible reasons that a Web site may not be available are: The institution failed to file on the most recent call report or TFR. The institution filed a primary Internet Web address on its most recent FFIEC Call Report;however, the address filed by the institution was not in accordance with the instructions provided by the FFIEC on how to file a primary Internet Web address or FDIC attempts to validate and access the site were unsuccessful. Users may also experience instances where the URL provided for primary Internet Web address in ID returns an error stating that the site is not found. Possible reasons for such occurrences are: The institution’s reported primary Web address was valid as of the date that the demographic information was updated in ID, but is no longer valid. The institution’s reported Internet Web address is valid, but the institution’s Web site was inoperable at the time that the user attempted to access it due to technical problems being experienced by the institution’s Web site, the institution’s web provider, the user’s Web provider, or other issues not related to the validity of the Web address. Users are advised to contact the institution on any questions regarding the services provided by the institution. For questions involving the reporting of primary Internet Web address by those institutions that file a FFIEC Call Report, users are advised to contact supervision@FDIC.gov. For questions involving the primary Internet Web address of institutions that file a Thrift Financial Report, users are advised to call the contacts listed at http://files.ots.treas.gov/84234.pdf Disclaimer: The Primary Internet Web Addresses listed have been reported to the FDIC by each institution. The hyperlinks to institution Internet sites are provided solely as a convenience to users of the FDIC Internet site. The FDIC has made a limited effort to determine that these links function properly. However, linked sites are not under the control of FDIC, and FDIC is not responsible for the contents of any linked site, or any link contained in a linked site. Even if you access an institution’s site by means of the link provided by FDIC, you are responsible for confirming the identity and authenticity of any institution you visit and transact business with online. The inclusion of a link does not imply or constitute an endorsement by FDIC of the institution, its ownership or management, the products or services it offers, or any advertisers or sponsors appearing on the institution’s web site. "
"37.","First Other Trade Name, If Any","TE01N529","If applicable, a trade name, other than the institution's legal name, used to identify one of the institution's physical offices where deposits are accepted or requested from the public. The use of trade names and other websites is an optional business practice, not used by all banks. As reported quarterly on the FFIEC Call Report, Schedule RC-M starting in March of 2014. (This is item TE01N529). This information is provided electronically by the bank to the FDIC on the required FFIEC Call Reports. The information is not edited by the FDIC.For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"38.","Second Other Trade Name, If Any","TE02N529","If applicable, a trade name, other than the institution's legal name, used to identify one of the institution's physical offices where deposits are accepted or requested from the public. The use of trade names and other websites is an optional business practice, not used by all banks. As reported quarterly on the FFIEC Call Report, Schedule RC-M starting in March of 2014. (This is item TE02N529). This information is provided electronically by the bank to the FDIC on the required FFIEC Call Reports. The information is not edited by the FDIC.For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"39.","Third Other Trade Name, If Any","TE03N529","If applicable, a trade name, other than the institution's legal name, used to identify one of the institution's physical offices where deposits are accepted or requested from the public. The use of trade names and other websites is an optional business practice, not used by all banks. As reported quarterly on the FFIEC Call Report, Schedule RC-M starting in March of 2014. (This is item TE03N529). This information is provided electronically by the bank to the FDIC on the required FFIEC Call Reports. The information is not edited by the FDIC.For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"40.","Forth Other Trade Name, If Any","TE04N529","If applicable, a trade name, other than the institution's legal name, used to identify one of the institution's physical offices where deposits are accepted or requested from the public. The use of trade names and other websites is an optional business practice, not used by all banks.  As reported quarterly on the FFIEC Call Report, Schedule RC-M starting in March of 2014. (This is item TE04N529). This information is provided electronically by the bank to the FDIC on the required FFIEC Call Reports. The information is not edited by the FDIC. For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"41.","Fifth Other Trade Name, If Any","TE05N529","If applicable, a trade name, other than the institution's legal name, used to identify one of the institution's physical offices where deposits are accepted or requested from the public. The use of trade names and other websites is an optional business practice, not used by all banks.  As reported quarterly on the FFIEC Call Report, Schedule RC-M starting in March of 2014. (This is item TE05N529). This information is provided electronically by the bank to the FDIC on the required FFIEC Call Reports. The information is not edited by the FDIC. For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"42.","Sixth Other Trade Name, If Any","TE06N529","If applicable, a trade name, other than the institution's legal name, used to identify one of the institution's physical offices where deposits are accepted or requested from the public. The use of trade names and other websites is an optional business practice, not used by all banks. As reported quarterly on the FFIEC Call Report, Schedule RC-M starting in March of 2014. (This is item TE06N529). This information is provided electronically by the bank to the FDIC on the required FFIEC Call Reports. The information is not edited by the FDIC.For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"43.","First Additional Deposit Taking Web Site, If Any","TE01N528","If applicable, additional website (URL) that the bank uses to accept or ask for deposits from the public. The use of trade names and other websites is an optional business practice, not used by all banks.As reported quarterly on the FFIEC Call Report, Schedule RC-M (This is item TE01N528). The information begins in March 2014 and is provided electronically by the bank to the FDIC. The information is not edited by the FDIC.For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"44.","Second Additional Deposit Taking Web Site, If Any","TE02N528","If applicable, additional website (URL) that the bank uses to accept or ask for deposits from the public. The use of trade names and other websites is an optional business practice, not used by all banks.As reported quarterly on the FFIEC Call Report, Schedule RC-M (This is item TE01N528). The information begins in March 2014 and is provided electronically by the bank to the FDIC. The information is not edited by the FDIC.For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"45.","Third Additional Deposit Taking Web Site, If Any","TE03N528","If applicable, additional website (URL) that the bank uses to accept or ask for deposits from the public. The use of trade names and other websites is an optional business practice, not used by all banks. As reported quarterly on the FFIEC Call Report, Schedule RC-M (This is item TE03N528). The information begins in March 2014 and is provided electronically by the bank to the FDIC. The information is not edited by the FDIC. For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"46.","Forth Additional Deposit Taking Web Site, If Any","TE04N528","If applicable, additional website (URL) that the bank uses to accept or ask for deposits from the public. The use of trade names and other websites is an optional business practice, not used by all banks.As reported quarterly on the FFIEC Call Report, Schedule RC-M (This is item TE04N528). The information begins in March 2014 and is provided electronically by the bank to the FDIC. The information is not edited by the FDIC.For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"47.","Fifth Additional Deposit Taking Web Site, If Any","TE05N528","If applicable, additional website (URL) that the bank uses to accept or ask for deposits from the public. The use of trade names and other websites is an optional business practice, not used by all banks.As reported quarterly on the FFIEC Call Report, Schedule RC-M (This is item TE05N528). The information begins in March 2014 and is provided electronically by the bank to the FDIC. The information is not edited by the FDIC.For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"48.","Sixth Additional Deposit Taking Web Site, If Any","TE06N528","If applicable, additional website (URL) that the bank uses to accept or ask for deposits from the public. The use of trade names and other websites is an optional business practice, not used by all banks.As reported quarterly on the FFIEC Call Report, Schedule RC-M (This is item TE06N528). The information begins in March 2014 and is provided electronically by the bank to the FDIC. The information is not edited by the FDIC.For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"49.","Seventh Additional Deposit Taking Web Site, If Any","TE07N528","If applicable, additional website (URL) that the bank uses to accept or ask for deposits from the public. The use of trade names and other websites is an optional business practice, not used by all banks.As reported quarterly on the FFIEC Call Report, Schedule RC-M (This is item TE07N528). The information begins in March 2014 and is provided electronically by the bank to the FDIC. The information is not edited by the FDIC.For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"50.","Eighth Additional Deposit Taking Web Site, If Any","TE08N528","If applicable, additional website (URL) that the bank uses to accept or ask for deposits from the public. The use of trade names and other websites is an optional business practice, not used by all banks.As reported quarterly on the FFIEC Call Report, Schedule RC-M (This is item TE08N528). The information begins in March 2014 and is provided electronically by the bank to the FDIC. The information is not edited by the FDIC.For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"51.","Ninth Additional Deposit Taking Web Site, If Any","TE09N528","If applicable, additional website (URL) that the bank uses to accept or ask for deposits from the public. The use of trade names and other websites is an optional business practice, not used by all banks.As reported quarterly on the FFIEC Call Report, Schedule RC-M (This is item TE09N528). The information begins in March 2014 and is provided electronically by the bank to the FDIC. The information is not edited by the FDIC.For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
"52.","Tenth Additional Deposit Taking Web Site, If Any","TE10N528","If applicable, additional website (URL) that the bank uses to accept or ask for deposits from the public. The use of trade names and other websites is an optional business practice, not used by all banks.As reported quarterly on the FFIEC Call Report, Schedule RC-M (This is item TE10N528). The information begins in March 2014 and is provided electronically by the bank to the FDIC. The information is not edited by the FDIC.For more information regarding a trade name and/or URL for a particular bank, call the FDIC at 1-877-275-3342 and ask to speak with a deposit insurance specialist. If you do not see the Trade Name and/or URL that you are looking for, please call the FDIC.   "
