"ID System: Income and Expense"
"","Title","Variable","Definition"
"14.","Additional NonInterest Expense","IDEOTH","This includes all other operating expenses of the institution. These may consist of net (gains) or losses on OREO, loans sales, fixed assets sales, amortization of intangible assets, or other itemized expenses. Beginning in June 1996, this does not include losses on asset sales for TFR reporters. Such gains (losses) are included net in noninterest income. RIS definition:  YR - IDEOTH = EOTHNINT + EAMINTAN (>2000) or IDEOTH=EOTHNINT QTR - IDOTHNIQ = NONIIQ - SUM(IFIDUCQ, ISERCHGQ, IGLTRDQ)"
"15.","Pre-Tax Net Operating Income","idpretx","Net income (loss) before income taxes and extraordinary items and other adjustments minus gains (losses) on securities not held in trading accounts. RIS definition: YR - IDPRETX = SUM(IBEFTAX, -IGLSEC) QTR - IDPRETXQ = SUM(IBEFTXQ, -IGLSECQ)"
"16.","Securities Gains (Losses)","iglsec"," Realized gains (losses) on held-to-maturity and available-for-sale securities, before adjustments for income taxes. Also includes realized gains (losses) on equity securities. beginning in 2018, includes unrealized gains (losses) on equity securities for institutions that adopted as2016-01. thrift financial reporters (before 2012) also include gains (losses) on the sale of other assets held for sale. "
"17.","Applicable Income Taxes","itax","Applicable federal, state and local, and foreign income taxes."
"18.","Income Before Extraordinary Items","ibefxtr","Income (loss) before security transactions, extraordinary items and other adjustments.  "
"19.","Discontinued Operations (Extraordinary Gains, Net)**","extra","Discontinued operations, net of applicable income taxes on a consolidated basis. Accounting rule change as of March 2016, now only includes Discontinued Operations Expense and not Extraordinary Gains (Net of Taxes).   .                                         "
"20.","Net Income of Bank and Minority Interests.","NETINBM"," Net income (loss) attributable to the bank and noncontrolling (minority) interests on a consolidated basis. note: available beginning March 31, 2009. "
"21.","Minority Interest Net Income","NETIMIN"," Net income (loss) attributable to noncontrolling (minority) interests on a consolidated basis. note: available starting March 31, 2009. "
"22.","Net Income","netinc","Net interest income plus total noninterest income plus realized gains (losses) on securities and extraordinary items, less total noninterest expense, loan loss provisions and income taxes."
"23.","Net Charge-offs: Total Loans and Leases","ntlnls","Total loans and leases charged-off (removed from balance sheet because of uncollectibility), less amounts recovered on loans and leases previously charged-off."
"24.","Cash Dividends","eqcdiv","Cash dividends paid on common and preferred stock."
"25.","Sale, Conversion, Retirement of Capital Stock, Net","eqcstkrx","Sale, conversion, acquisition, or retirement of capital stock, net.  Included are the sale of the institution's perpetual preferred stock or common stock; exercise of stock options, conversion of convertible debt, limited life preferred stock, or perpetual preferred stock into common stock or perpetual preferred; redemption and retirement of perpetual preferred stock or common stock; treasury stock transactions; and capital related transactions involving the institution's employee stock ownership plan.  Institutions with total assets of less than $100 million file these data only on the December Call Report."
"26.","Net Operating Income","noij","Net operating income adjusted on a consolidated basis includes:                                                                                     Income (loss) before discontinued operations, minus:                                                                                                                                          gains (losses) on securities not held in trading accounts adjusted for applicable income taxes.                                                Beginning in the 2018 reporting year, includes unrealized                                   gains (losses) on equity securities for those that adopted ASU 2016-01 in the adjustment for securities gains (losses) This item also includes realized gains (losses) on equity securities.                                                                                                                            Prior to March 2016 defined as income (loss) before extraordinary items and other adjustments."
