"ID System: Total Deposits"
"","Title","Variable","Definition"
"11.","Transaction Accounts","trn"," The sum of the following accounts held in domestic offices: demand deposits, NOW accounts, Automated Transfer Service (ATS) accounts and telephone or preauthorized transfer accounts. prior to 2004, This item is not available for TFR Reporters.TFR reports ended December 2011."
"12.","Demand Deposits Domestic Offices","ddt"," Total demand deposits included in transaction accounts held in domestic offices. prior to 2004, This item is not available for TFR Reporters.TFR reports ended December 2011."
"13.","Nontransaction Accounts","ntr"," The sum of the following accounts held in domestic offices: money market deposit accounts (MMDAs), other savings deposits and all time deposits. prior to 2004, This item is not available for TFR Reporters.TFR reports ended December 2011."
"14.","Money Market Deposit Accounts (Mmdas)","ntrsmmda"," Total money market deposit accounts held in domestic offices. Prior to 2004, this item is not available for TFR Reporters.TFR reports ended December 2011."
"15.","Other Savings Deposits (Excluding Mmdas)","ntrsoth"," Total savings deposits held in domestic offices, aside from money market deposit accounts. prior to 2004, This item is not available for TFR Reporters.TFR reports ended December 2011."
"16.","Total Time Deposits","ntrtime","Total nontransaction time deposits held in domestic offices.     Prior to 2004, this  item is not available for TFR reporters with assets less than $300 million and risk-based capital ratios in excess of 12 percent.    "
"17.","Total Time and Savings Deposits","ts","Total transaction and nontransaction time and savings deposit accounts held in domestic offices.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. with assets less than $300 million and risk-based capital ratios in excess of 12 percent."
"18.","Deposits Held in Domestic Offices","depdom","The sum of all domestic office deposits, including demand deposits, money market deposits, other savings deposits and time deposits."
"19.","NonInterest-Bearing Deposits in Domestic Offices","depnidom","The sum of total demand deposits and noninterest-bearing time and savings deposits held in domestic offices. Prior to 2004, this item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"20.","Interest-Bearing Deposits in Domestic Offices","depidom","The sum of interest-bearing time and savings deposits held in domestic offices.  This item is not available for Thrift Financial Report filers having both assets less than $300 million and risk-based capital ratios if 12 percent or more."
"21.","Retail deposits","coredep","The core deposit definition was changed in March 2011.Core deposits held in domestic offices now includes:total domestic office deposits minus - (1) time deposits of more than $250,000 held indomestic offices (2) brokered deposits of $250,000 or less held in domestic offices.Prior to the March 2010, core deposits were calculated as follows: Total domestic office deposits minus-(1) time deposits of $100,000 or more held in domestic offices."
"22.","Estimated Insured Deposits","depins"," The estimated amount of FDIC Insured deposits in domestic offices and in Insured branches of Puerto Rico and US territories and possessions. notes: (1) as of July 21, 2010, the standard maximum deposit insurance amount was permanently raised to $250,000. (2) Beginning December 31, 2010, through December 31, 2012, includes the unlimited insurance coverage of noninterest-bearing transaction accounts. all noninterest-bearing transaction accounts are fully insured, regardless of the balance of the account, at all FDIC-Insured institutions. (3) Beginning September 2009, amounts for non-retirement accounts are reported based on the temporary increase to the standard insurance limit to $250,000. (4) Prior to September 2009, amounts for non-retirement accounts were reported based on the standard insurance limit of $100,000. (5) Beginning in 2006, retirement accounts are Insured to $250,000 and reporting was phased in at different times during the year by banks, thrifts and IBAs. (6) Prior to March 2002, reported for domestic offices only. (7) This calculation uses the self-reported estimate of unInsured deposits filed by institutions that are greater than $1 billion.  "
"23.","Iras and Keogh Plan Accounts","irakeogh","Individual Retirement Accounts and Keogh Plan Accounts held in domestic offices. Beginning September 2019 FFIEC Call Report 51 filers only report this item each June and December."
"24.","Brokered Deposits","bro","Total brokered deposits held in domestic offices. Brokered deposits represent funds which the reporting bank obtains, directly orindirectly, by or through any deposit broker for deposit into one or more deposit accounts. Thus, brokered deposits include both those in which the entire beneficial interest in a given bank deposit account or instrument is held by a single depositor and those in which the deposit broker sells participations in a given bank deposit account or instrument to one or more investors.Fully Insured brokered deposits are brokered deposits that are issued in denominations of $100,000"
"25.","Fully Insured Brokered Deposits","broins"," Brokered deposits held in domestic offices issued in denominations of less than $100,000, or in denominations of $100,000 or more and participated out by the broker in shares of less than $100,000note: although standard FDIC insurance coverage was temporarily raised from $100,000 to $250,000 in October 2008, institutions are required to report this item based on the $100,000 coverage limit through December 2009.  "
"26.","Deposits Obtained Via List Services, Yet Not Brokered","DEPLSNB","Estimated amount of deposits obtained through the use of deposit listing services that are not brokered. Available as of March 2011"
"27.","Deposits Held in Foreign Offices","depfor"," The sum of all foreign office deposits, including demand deposits, money market deposits, other savings deposits and time deposits. This item is not available for TFR Reporters.TFR reports ended December 2011."
"28.","NonInterest-Bearing Deposits in Foreign Offices","depnifor"," The sum of total demand deposits and noninterest-bearing time and savings deposits held in foreign offices. represents any deposit in foreign offices on which the bank does not pay or accrue interest. This item is not available for TFR Reporters.TFR Reports ended in December 2011. "
"29.","Interest-Bearing Deposits in Foreign Offices","depifor"," The sum of interest-bearing time and savings deposits held in foreign offices. represents any deposit in foreign offices, whether demand, savings or time, on which the bank pays or accrues interest. This item is not available for TFR Reporters, The last TFR was filed in December 2011. "
